"R","Metodo","mu1","mu2","mu3","sigma1","sigma2","sigma3","p1","p2","p3","tempo"
36,"MCMC",0.73379828125,4.0813369275,7.23525262875,0.919747812875,1.427731188,0.87591131625,0.282878190625,0.426866385,0.290255423,48.7913801670074
37,"EM",1.06774033266591,3.93700775276925,6.88446215179246,0.94115733757455,0.803482244296518,1.06888328661762,0.341607950943598,0.269923106973045,0.388468942083357,0.0697870254516602
37,"MCMC",1.0569889585,3.95859967125,6.91717130625,0.946821732625,0.9027400965,1.05987554975,0.335142300125,0.287966240625,0.376891458875,36.4546959400177
38,"EM",0.643380312396882,4.02283226701103,7.3806803308186,0.798078444471497,1.82904430230659,0.819070060501826,0.230244254499653,0.568563005471019,0.201192740029327,0.0992469787597656
38,"MCMC",0.819267130125,4.06259581875,7.21524215375,0.919268807375,1.37918258275,0.922299449,0.295887413875,0.44450069975,0.2596118876375,47.0101730823517
39,"EM",0.737772456267036,3.93364792261779,7.21990379493267,0.863667720385985,1.56357803959037,0.967432668598753,0.241984550710744,0.505359000291701,0.252656448997555,0.279757022857666
39,"MCMC",0.821296097,3.90956797375,7.1010672,0.908899734,1.440704773,1.0288126645,0.262025061575,0.45889525825,0.279079685325,69.8706438541412
40,"EM",1.07207030669488,3.98855956166883,7.00705322586352,0.903691719433325,0.90064496783402,1.01380225804169,0.361794845452121,0.332995321163376,0.305209833384502,0.237904071807861
40,"MCMC",1.0391421585,3.9726832675,7.02871895375,0.895471319375,1.00530819325,1.01711984375,0.348586222625,0.354795772875,0.296618006625,48.7199070453644
41,"EM",0.706823401885602,3.67057242001644,7.10620284662959,0.780587724570782,1.25122035163664,0.957973313605385,0.251744562814104,0.441431736355755,0.30682370083014,0.189130783081055
41,"MCMC",0.738792261625,3.6755457925,7.08465224,0.8069254485,1.2650694935,0.98117210825,0.254531794625,0.437197000375,0.30827119675,55.0700488090515
42,"EM",1.12951874608107,4.10141165267523,6.92376389243372,1.03723495319008,0.80021940165733,0.981408546416027,0.350948872647325,0.271207023777225,0.377844103575451,0.153127908706665
42,"MCMC",1.062659666125,4.15099517125,7.01457310875,1.014874336125,1.016368024375,0.94426586525,0.33073154575,0.32220199425,0.34706645425,57.7375521659851
43,"EM",0.998123830270895,3.9766554450001,6.87964303027855,0.910835656080479,0.890936950699307,1.09114991741569,0.333636403836487,0.308664286892202,0.357699309271311,0.114971876144409
43,"MCMC",0.968327215875,4.00585252625,6.9319518625,0.90547245975,1.0279742655,1.0814423985,0.32171111125,0.338850725625,0.33943816475,69.0457978248596
44,"EM",0.729928198096167,4.08513447341002,7.25373376173476,0.837445403060959,1.48846551681439,0.822591561523273,0.251017938822356,0.458164997895264,0.29081706328238,0.204164981842041
44,"MCMC",0.777732045375,4.078658235,7.2088807125,0.869547904375,1.44493752,0.8522790545,0.258926912125,0.44091034,0.300162752875,80.252249956131
45,"EM",0.927831456015767,3.90631369858927,6.97090278376224,0.920205872823189,1.19024651936174,0.93944525040543,0.32584262514966,0.383094903327464,0.291062471522877,0.640059947967529
45,"MCMC",0.938718289375,3.90610250875,6.96323382125,0.936152563125,1.26978516525,0.956770970375,0.318955008875,0.39604203525,0.28500295775,68.5297329425812
46,"EM",0.667748613482866,3.64090338751232,6.93214084582666,0.831767067186153,1.26664042034739,1.03023481273378,0.263606155259191,0.377908173662608,0.358485671078201,0.159170150756836
46,"MCMC",0.690355369375,3.6640057875,6.93249961125,0.851548857875,1.348347607375,1.041495324125,0.25967077575,0.39086516625,0.3494640575,67.5232861042023
47,"EM",0.822806394280861,4.07753683193542,7.21887426685414,0.979977892863977,1.11126486476934,0.834133676205185,0.302069727553169,0.395066216742665,0.302864055704167,0.137856960296631
47,"MCMC",0.826368211875,4.0796858975,7.22232836625,0.99458310725,1.17460248975,0.8437057245,0.298118033875,0.40422157425,0.29766039075,56.4240980148315
48,"EM",0.958379212446008,4.24454217431781,7.09058750956596,1.05687092789224,1.18030846078144,0.951201838415781,0.337954747351652,0.36878484133988,0.293260411308467,0.194720983505249
48,"MCMC",0.82005753425,4.10786067625,7.11712811,0.87880441,1.772463739625,0.879319569625,0.2515760738,0.5164362365,0.2319876839875,83.3502199649811
49,"EM",1.0066747507418,3.89306914286671,6.83674620769593,0.988279576288235,0.872145687744727,1.04829249035638,0.365681155420024,0.264641943659403,0.369676900920573,0.0966458320617676
49,"MCMC",0.945138480125,3.87490091625,6.88731746625,0.969590907125,1.0821546385,1.036948232,0.341569828375,0.30921756375,0.34921260925,63.1160349845886
50,"EM",0.490461603014774,3.61448350432273,7.20101837432288,0.772346009739784,1.76335268913499,0.861647834030869,0.183304849542222,0.586508678579828,0.23018647187795,0.166381120681763
50,"MCMC",0.613937688375,3.65952196125,7.09677274375,0.863529966375,1.56652740125,0.923875585375,0.223653975225,0.51747907325,0.258866956875,66.3588931560516
